departamento,provincia,municipio,codigo,tipo,nacion_pueblo,casos,porcentaje_indigena_sobre_indigena,poblacion,porcentaje_indigena_poblacion_total,año
CHUQUISACA,LUIS CALVO,HUACAYA,011002,C ,CAMPESINO,32,1.71,2541,1.259,2012
CHUQUISACA,LUIS CALVO,HUACAYA,011002,C ,INDÍGENA,18,0.96,2541,0.708,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,A ,AYMARA,15,0.45,7418,0.202,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,A ,QUECHUA,292,8.81,7418,3.936,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,AFROBOLIVIANO,6,0.18,7418,0.081,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,AYOREO,2,0.06,7418,0.027,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,BAURE,4,0.12,7418,0.054,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,CANICHANA,3,0.09,7418,0.04,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,CHIQUITANO,34,1.03,7418,0.458,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,BÉSIRO,8,0.24,7418,0.108,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,GUARAYO,8,0.24,7418,0.108,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,GUARANI,2645,79.76,7418,35.657,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,ITONOMA,4,0.12,7418,0.054,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,LECO,7,0.21,7418,0.094,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,MOJEÑO,38,1.15,7418,0.512,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,TRINITARIO,2,0.06,7418,0.027,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,MOSETÉN,2,0.06,7418,0.027,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,MOVIMA,2,0.06,7418,0.027,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,TACANA,2,0.06,7418,0.027,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,B ,YURACARÉ,1,0.03,7418,0.013,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,CHIRIGUANO,1,0.03,7418,0.013,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,HUARI,6,0.18,7418,0.081,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,MONKOX,1,0.03,7418,0.013,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,QHARA QHARA,1,0.03,7418,0.013,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,QOLLAS,1,0.03,7418,0.013,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,YAMPARA,2,0.06,7418,0.027,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,ORIGINARIO,20,0.6,7418,0.27,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,CAMPESINO,155,4.67,7418,2.09,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,INDÍGENA,44,1.33,7418,0.593,2012
CHUQUISACA,LUIS CALVO,MACHARETÍ,011003,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,10,0.3,7418,0.135,2012
LA PAZ,MURILLO,LA PAZ,020101,A ,AYMARA,133536,83.68,766468,17.422,2012
LA PAZ,MURILLO,LA PAZ,020101,A ,QUECHUA,15033,9.42,766468,1.961,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,AFROBOLIVIANO,2110,1.32,766468,0.275,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,ARAONA,13,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,AYOREO,61,0.04,766468,0.008,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,BAURE,23,0.01,766468,0.003,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,CANICHANA,6,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,CAVINEÑO,13,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,CAYUBABA,6,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,CHACOBO,4,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,CHIQUITANO,202,0.13,766468,0.026,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,BÉSIRO,3,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,URU CHIPAYAS,24,0.02,766468,0.003,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,ESSE EJJA,16,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,GUARASUGWE,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,GUARAYO,77,0.05,766468,0.01,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,GUARANI,490,0.31,766468,0.064,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,ITONOMA,716,0.45,766468,0.093,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,JOAQUINIANO,25,0.02,766468,0.003,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,KALLAWAYA,93,0.06,766468,0.012,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,LECO,484,0.3,766468,0.063,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MACHINERI,4,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MAROPA,41,0.03,766468,0.005,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,REYESANO,7,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MOJEÑO,327,0.2,766468,0.043,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,IGNACIANO,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,TRINITARIO,20,0.01,766468,0.003,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MORÉ,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MOSETÉN,94,0.06,766468,0.012,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MOVIMA,109,0.07,766468,0.014,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MURATO,7,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,ITO,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,URUS,37,0.02,766468,0.005,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,PACAHUARA,19,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,SIRIONÓ,11,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,TACANA,265,0.17,766468,0.035,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,TAPIETE,9,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,TSIMANE CHIMAN,436,0.27,766468,0.057,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,WEENAYEK,29,0.02,766468,0.004,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,YAMINAHUA,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,YUKI,6,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,YURACARÉ,133,0.08,766468,0.017,2012
LA PAZ,MURILLO,LA PAZ,020101,B ,MOJEÑO,17,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,AROMA,152,0.1,766468,0.02,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,AYLLU JUKUMANI,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,AYLLU KACACHACA,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,AYLLU KHARACHA,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,AYLLU YURA,3,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CALCHA,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHALLAPATA,8,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHAQUI,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHARAZANI,9,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHAYANTA,9,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHICHAS,549,0.34,766468,0.072,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHIRIGUANO,9,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHOQUECOTA,3,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CHULLPAS,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CORQUE,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CURAHUARA DE CARANGAS,15,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,HUARI,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,HUAYLLA MARKA,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,JACH'A PACAJAQUI,92,0.06,766468,0.012,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,JACHA CARANGAS,12,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,JESÚS DE MACHACA,13,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,LARECAJA,68,0.04,766468,0.009,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,LAYME,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,MATACO,6,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,MONKOX,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,PAMPA AULLAGAS,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,PUCARA,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,PUKINA,4,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,QHAPAQ UMA SUYU,16,0.01,766468,0.002,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,QHARA QHARA,9,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,QOLLAS,52,0.03,766468,0.007,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,QUILA QUILA,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,QUILLACAS,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,SABAYA,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,SUYU CHARCAS,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,SUYU SURA,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,TINQUIPAYA,9,0.01,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,TOTORA MARKA,2,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,TURCO,7,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,YAMPARA,24,0.02,766468,0.003,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,YAPACANÍ,1,0,766468,0,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,ORIGINARIO,505,0.32,766468,0.066,2012
